INCHIKEY,SMILES
FFGPTBGBLSHEPO-UHFFFAOYSA-N,O=C(N1C2=C(C=CC3=CC=CC=C13)C=CC=C2)N
PYZRQGJRPPTADH-UHFFFAOYSA-N,NC1=NN=C(C2=C(Cl)C(Cl)=CC=C2)C(N)=N1
SJJCQDRGABAVBB-UHFFFAOYSA-N,OC1=C(C(O)=O)C=CC2=C1C=CC=C2
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,FC(F)(F)C(C=C1)=CC=C1OC(C2=CC=CC=C2)CCNC
VGKDLMBJGBXTGI-SJCJKPOMSA-N,ClC(C=[C@@](C=C1)[C@@H](C2=CC=CC=C32)CC[C@@H]3NC)=C1Cl
URKOMYMAXPYINW-UHFFFAOYSA-N,OCCOCCN1CCN(C2=NC3=CC=CC=C3SC4=CC=CC=C24)CC1
WSEQXVZVJXJVFP-FQEVSTJZSA-N,FC1=CC=[C@]([C@]2(CCCN(C)C)OCC3=C2C=CC(C#N)=C3)C=C1
WIQRCHMSJFFONW-UHFFFAOYSA-N,NCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2
PHLBKPHSAVXXEF-UHFFFAOYSA-N,O=c1n(cccc2)c2nn1CCCN3CCN(c4cc(Cl)ccc4)CC3
PTJADDMMFYXMMG-UHFFFAOYSA-N,FC1=CC=C(C=C1)C2(CCCNC)OCC3=C2C=CC(C#N)=C3
RKUKMUWCRLRPEJ-SFHVURJKSA-N,FC1=CC=C(C=C1)[C@@]2(CCCN)C3=CC=C(C#N)C=C3CO2
DIOGFDCEWUUSBQ-UHFFFAOYSA-N,FC1=CC=C(C=C1)C2(CCC[N+](C)(C)[O-])OCC3=C2C=CC(C#N)=C3
JSYNRZJODZWUKX-UHFFFAOYSA-N,FC1=CC=C(C=C1)C2(CCC(O)=O)OCC3=C2C=CC(C#N)=C3
JLOAJISUHPIQOX-UHFFFAOYSA-N,N1(C2=NC3=C(SC4=C2C=CC=C4)C=CC=C3)CCNCC1
RWTNPBWLLIMQHL-UHFFFAOYSA-N,O=C(C(C)(C)C1=CC=C(C(CCCN2CCC(C(C3=CC=CC=C3)(C4=CC=CC=C4)O)CC2)O)C=C1)O
ZKLPARSLTMPFCP-UHFFFAOYSA-N,ClC1=CC=C(C=C1)C(C2=CC=CC=C2)N3CCN(CCOCC(O)=O)CC3
UCHDWCPVSPXUMX-TZIWLTJVSA-N,CC(c1c(CC[C@@H](SCC2(CC(O)=O)CC2)c3cc(/C=C/c(cc4)nc5c4ccc(Cl)c5)ccc3)cccc1)(O)C
YGSDEFSMJLZEOE-UHFFFAOYSA-N,OC1=C(C(O)=O)C=CC=C1
YICAQFPUDACYGQ-UHFFFAOYSA-N,[O-]C(CC(C[N+](C)(C)C)OC(C(C)(C)C)=O)=O
FPXPQMOQWJZYBL-UHFFFAOYSA-N,OC1=CC=C(C=C1)OS(=O)(O)=O
AKEUNCKRJATALU-UHFFFAOYSA-N,OC(C1=C(O)C=CC=C1O)=O
RGHNJXZEOKUKBD-SQOUGZDYSA-N,OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O
RLCKHJSFHOZMDR-UHFFFAOYSA-N,CC(CCCC(CCCC(CCCC(C)C)C)C)CC(O)=O
KTHADMDGDNYQRX-UHFFFAOYSA-N,O=C(OC)CC1=CNC2=C1C=CC=C2
FEWJPZIEWOKRBE-JCYAYHJZSA-N,OC([C@H](O)[C@@H](O)C(O)=O)=O
BITYXLXUCSKTJS-UHFFFAOYSA-N,OC(CC(O)=O)(C(C)C)C(O)=O
AAWZDTNXLSGCEK-WYWMIBKRSA-N,O[C@@]1([C@](O)(C[C@@](C(O)=O)(C[C@]1(O)[H])O)[H])[H]
DATAGRPVKZEWHA-YFKPBYRVSA-N,N[C@@H](CCC(NCC)=O)C(O)=O
ROBFUDYVXSDBQM-UHFFFAOYSA-N,O=C(C(O)C(O)=O)O
UNXHWFMMPAWVPI-UHFFFAOYSA-N,OCC(O)C(CO)O
GGOZGYRTNQBSSA-UHFFFAOYSA-N,OC1=NC=CC=C1O
CVHZOJJKTDOEJC-UHFFFAOYSA-N,O=S(C1=CC=CC=C1C2=O)(N2)=O
KSPQDMRTZZYQLM-UHFFFAOYSA-N,O=C(NCC(O)=O)C1=CC=CO1
MXXWOMGUGJBKIW-YPCIICBESA-N,O=C(N1CCCCC1)/C=C/C=C/C2=CC(OCO3)=C3C=C2
CMUNUTVVOOHQPW-LURJTMIESA-N,C[N+]1(C)[C@H]([C@@]([O-])=O)CCC1
KMXXSJLYVJEBHI-UHFFFAOYSA-N,OC(CCNC(N)=N)=O
XULZWQRXYTVUTE-ZETCQYMHSA-N,C[N+]1(C)[C@@H](CCCC1)[C@]([O-])=O
NODSEPOUFZPJEQ-UHFFFAOYSA-N,CC(C)C1=CC=C(C)C=C1OS(=O)(O)=O
VTYFITADLSVOAS-UHFFFAOYSA-N,NC(C(O)=O)CCCCN1C(C=O)=CC=C1CO
KFDHKOFCRYUXLA-UHFFFAOYSA-N,C=CCC1=CC=C(OS(=O)(O)=O)C=C1
MUNWAHDYFVYIKH-RITPCOANSA-N,O[C@H]1C[N+](C)(C)[C@H]([C@@]([O-])=O)C1
SSISHJJTAXXQAX-UHFFFAOYSA-N,S=C1NC(CC(C([O-])=O)[N+](C)(C)C)=CN1
BJRNKVDFDLYUGJ-UHFFFAOYSA-N,OC1=CC=C(OC2OC(CO)C(O)C(O)C2O)C=C1
YAADMLWHGMUGQL-VOTSOKGWSA-N,O=C(NCC(O)=O)/C=C/C1=CC=CC=C1
JTEYKUFKXGDTEU-UHFFFAOYSA-N,OC(C(O)C(C)(O)C)=O
JVKYZPBMZPJNAJ-OQFNDJACSA-N,O[C@H](C1)CC[C@@]2(C)C1=CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])C[C@@]5([H])[C@]4([H])[C@H](C)[C@]6([H])N5C[C@@H](C)CC6
MPDGHEJMBKOTSU-WFJWTYAKSA-N,CC1([C@H](CC[C@]2(C1CC[C@@]3(C2C(C=C4C5C[C@](CC[C@@]5(CC[C@@]34C)C)([C@](O)=O)C)=O)C)C)O)C
ILGMGHZPXRDCCS-UHFFFAOYSA-N,O=C(NC1=C2C=CC=C1)C2CC(O)=O
BOLQJTPHPSDZHR-UHFFFAOYSA-N,O=C(CCC1=CC=C(O)C(OC)=C1)O
XUHLIQGRKRUKPH-ITZCMCNPSA-N,C=CCS(C[C@H](N)C(O)=O)=O
RGHNJXZEOKUKBD-MBMOQRBOSA-N,O=C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
XUWHAWMETYGRKB-UHFFFAOYSA-N,O=C1CCCCN1
JYGFTBXVXVMTGB-UHFFFAOYSA-N,O=C1CC2=C(N1)C=CC=C2
VSTZVCJQGSLNLL-UHFFFAOYSA-N,NC1=CC=CC=C1OS(O)(=O)=O
ZFAHNWWNDFHPOH-UHFFFAOYSA-N,OC(C(CSCC=C)N)=O
CCCNUHFRBBIFHO-CVSPRKDYSA-N,C=CCS(C[C@H](NC(C)=O)C(O)=O)=O
PZPATWACAAOHTJ-HWKANZROSA-N,COC1=C(OS(O)(=O)=O)C=CC(/C=C/C(O)=O)=C1
HOVAGTYPODGVJG-ZFYZTMLRSA-N,O[C@H]1[C@@H]([C@H]([C@H](O[C@@H]1CO)OC)O)O
HRHBRUPGUDLQIF-ONEGZZNKSA-N,C/C=C/C1=CC(OC)=C(OS(O)(=O)=O)C=C1
PVWYGTJERKKPRW-UHFFFAOYSA-N,O=C1C=COC(C)=C1OS(=O)(O)=O
FKCHAXAGQVCJPN-UHFFFAOYSA-N,COC1=C(OS(O)(=O)=O)C=CC(C=C)=C1
XWAZTQUZONPJEW-UHFFFAOYSA-N,COC1=CC(CC=C)=CC=C1OS(=O)(O)=O
JCVGTUVGDOWZJE-UHFFFAOYSA-N,CC(NC(C=CC=C1)=C1OS(=O)(O)=O)=O
